symbol,price,daily_change_pct,rsi,ema_20,ema_50,ema_200,volume_ratio,support,resistance,entry_low,entry_high,stop_loss,target_1,target_2,target_3,risk_reward_to_target1,score,signal,breakout
KOTAKBANK,414.45,-1.09,54.49,413.14,403.56,398.31,0.5,386.75,429.1,392.55,414.45,382.88,461.8,493.37,524.94,1.5,4.5,AVOID,False
PNB,116.1,-0.56,53.18,115.85,113.83,112.78,0.52,113.16,119.1,114.86,116.1,112.03,122.21,126.28,130.35,1.5,4.5,AVOID,False
HDFCBANK,718.85,1.5,49.68,714.15,734.93,811.9,1.34,681.9,739.75,692.13,718.85,675.08,784.5,828.27,872.04,1.5,3.5,AVOID,False
UNIONBANK,176.66,-0.81,39.6,182.83,179.82,170.26,0.33,175.53,192.33,176.66,176.66,169.87,186.84,193.63,200.42,1.5,3.5,AVOID,False
SWIGGY,278.85,0.23,51.42,278.08,275.17,300.86,0.28,261.35,293.0,265.27,278.85,258.74,309.02,329.13,349.25,1.5,3.5,AVOID,False
AUBANK,1040.0,-1.78,39.42,1070.41,1059.99,986.74,0.22,1033.2,1144.1,1040.0,1040.0,1006.07,1090.89,1124.82,1158.74,1.5,3.0,AVOID,False
FEDERALBNK,341.95,-0.74,43.44,347.51,343.71,302.71,0.29,337.6,364.2,341.95,341.95,332.26,356.48,366.17,375.86,1.5,3.0,AVOID,False
INDUSINDBK,966.0,-1.25,38.05,997.76,993.48,922.02,0.75,960.4,1022.0,966.0,966.0,935.44,1011.83,1042.39,1072.95,1.5,3.0,AVOID,False
ICICIBANK,1357.6,-1.57,32.19,1408.87,1405.83,1372.91,0.61,1351.3,1454.0,1357.6,1357.6,1323.69,1408.46,1442.37,1476.28,1.5,2.0,AVOID,False
BANKBARODA,234.85,-1.38,38.4,239.9,246.1,261.23,0.6,234.05,247.28,234.85,234.85,228.31,244.67,251.21,257.75,1.5,1.0,AVOID,False
CANBK,123.2,-0.65,36.33,126.09,127.64,131.38,0.64,122.65,131.43,123.2,123.2,119.65,128.53,132.09,135.64,1.5,1.0,AVOID,False
SBIN,981.0,-1.48,31.55,1022.58,1031.96,1014.47,0.72,979.0,1067.7,981.0,981.0,954.72,1020.42,1046.7,1072.98,1.5,1.0,AVOID,False
AXISBANK,1235.2,-0.87,44.36,1250.73,1261.87,1264.03,0.73,1213.6,1300.0,1231.8,1235.2,1200.52,1287.22,1321.9,1356.57,1.5,0.0,AVOID,False
