symbol,date,price,daily_change_pct,rsi,ema_20,ema_50,ema_200,macd,macd_signal,volume_ratio,support,resistance,atr,entry_low,entry_high,stop_loss,target_1,target_2,target_3,risk_reward_to_target1,score,max_score,signal,breakout,reasons
APOLLOHOSP,2026-09-15,8803.0,-0.37,49.86,8810.35,8748.46,8219.1,8.8563,1.1229,0.52,8591.5,9024.0,150.84,8720.37,8803.0,8505.58,9249.12,9546.54,9843.95,1.5,3.5,10.0,AVOID,False,Fast EMA > slow EMA; Price > long EMA; MACD bullish; MACD > zero
CGPOWER,2026-09-15,874.5,-3.8,45.25,893.99,889.59,828.66,4.4347,3.7087,0.79,860.2,931.0,24.19,873.1,874.5,838.21,928.93,965.21,1001.5,1.5,3.5,10.0,AVOID,False,Fast EMA > slow EMA; Price > long EMA; MACD bullish; MACD > zero
COALINDIA,2026-09-15,421.45,-1.16,55.06,416.83,420.14,425.94,2.9716,0.2555,0.34,395.8,436.3,8.01,401.74,421.45,391.84,465.86,495.47,525.08,1.5,3.5,10.0,AVOID,False,Price > fast EMA; RSI bullish zone; MACD bullish; MACD > zero
DABUR,2026-09-15,387.85,3.15,46.16,386.99,403.28,447.58,-9.0231,-10.0472,3.2,368.05,406.8,6.94,373.57,387.85,364.37,423.07,446.55,470.03,1.5,3.5,10.0,AVOID,False,Price > fast EMA; MACD bullish; Volume 3.2x average; Positive daily momentum
ETERNAL,2026-09-15,318.25,-1.62,49.1,321.4,308.35,287.58,3.4734,5.6245,0.19,315.55,332.95,7.5,318.25,318.25,307.0,335.12,346.37,357.62,1.5,3.5,10.0,AVOID,False,Fast EMA > slow EMA; Price > long EMA; MACD > zero; Near support
GRASIM,2026-09-15,3195.2,-2.64,41.14,3280.3,3228.32,3023.39,12.2919,25.3643,0.61,3188.0,3371.0,66.61,3195.2,3195.2,3095.29,3345.07,3444.98,3544.89,1.5,3.5,10.0,AVOID,False,Fast EMA > slow EMA; Price > long EMA; MACD > zero; Near support
HDFCBANK,2026-09-15,718.9,1.5,49.7,714.16,734.93,811.9,-9.9539,-11.613,1.36,681.9,739.75,13.38,692.13,718.9,675.08,784.63,828.45,872.27,1.5,3.5,10.0,AVOID,False,Price > fast EMA; MACD bullish; Volume 1.4x average; Positive daily momentum
HAL,2026-09-15,4737.0,-3.43,42.57,4871.55,4759.59,4537.04,25.8109,44.9975,0.53,4707.0,5149.9,115.15,4737.0,4737.0,4564.28,4996.09,5168.81,5341.54,1.5,3.5,10.0,AVOID,False,Fast EMA > slow EMA; Price > long EMA; MACD > zero; Near support
MOTILALOFS,2026-09-15,998.3,-2.75,51.49,1004.34,963.75,897.54,23.592,28.6352,0.27,930.05,1060.2,29.8,944.0,998.3,920.75,1114.63,1192.18,1269.73,1.5,3.5,10.0,AVOID,False,Fast EMA > slow EMA; Price > long EMA; RSI bullish zone; MACD > zero
MCX,2026-09-15,3196.9,-2.41,52.18,3211.17,3060.49,2682.27,92.0687,112.9556,0.56,2916.0,3400.0,102.84,2959.74,3196.9,2886.84,3661.99,3972.05,4282.11,1.5,3.5,10.0,AVOID,False,Fast EMA > slow EMA; Price > long EMA; RSI bullish zone; MACD > zero
POLICYBZR,2026-09-15,1778.1,-1.07,51.06,1790.41,1726.53,1676.65,32.0313,44.8276,0.53,1721.1,1875.0,46.3,1746.92,1778.1,1703.89,1889.42,1963.63,2037.84,1.5,3.5,10.0,AVOID,False,Fast EMA > slow EMA; Price > long EMA; RSI bullish zone; MACD > zero
PERSISTENT,2026-09-15,5548.5,0.59,50.42,5565.0,5434.23,5342.42,23.974,58.886,1.18,5370.5,5910.0,161.38,5451.06,5548.5,5306.42,5911.62,6153.69,6395.77,1.5,3.5,10.0,AVOID,False,Fast EMA > slow EMA; Price > long EMA; RSI bullish zone; MACD > zero
MOTHERSON,2026-09-15,162.04,-1.47,48.56,163.59,158.36,138.0,0.9435,1.9239,0.56,159.92,173.27,3.95,162.04,162.04,156.12,170.92,176.84,182.76,1.5,3.5,10.0,AVOID,False,Fast EMA > slow EMA; Price > long EMA; MACD > zero; Near support
