symbol,date,price,daily_change_pct,rsi,ema_20,ema_50,ema_200,macd,macd_signal,volume_ratio,support,resistance,atr,entry_low,entry_high,stop_loss,target_1,target_2,target_3,risk_reward_to_target1,score,max_score,signal,breakout,reasons
OBEROIRLTY,2026-09-15,1694.0,-2.71,28.73,1825.26,1821.03,1721.68,-21.607,-1.6314,0.41,1691.2,1960.7,46.6,1694.0,1694.0,1624.1,1798.85,1868.75,1938.65,1.5,2.0,10.0,AVOID,False,Fast EMA > slow EMA; Near support
PATANJALI,2026-09-15,337.4,-1.06,29.61,345.34,361.43,441.47,-5.3364,-5.537,0.83,336.0,356.2,6.45,337.4,337.4,327.73,351.91,361.59,371.26,1.5,2.0,10.0,AVOID,False,MACD bullish; Near support
RECLTD,2026-09-15,313.0,0.1,33.29,322.58,335.75,350.45,-8.8512,-9.3642,0.5,310.4,341.85,6.47,313.0,313.0,303.29,327.56,337.27,346.98,1.5,2.0,10.0,AVOID,False,MACD bullish; Near support
SHRIRAMFIN,2026-09-15,993.0,-3.46,31.14,1058.07,1059.27,973.4,-19.1016,-9.0967,0.96,988.0,1142.0,29.07,993.0,993.0,949.4,1058.4,1102.0,1145.6,1.5,2.0,10.0,AVOID,False,Price > long EMA; Near support
SUNPHARMA,2026-09-15,1843.1,0.17,34.94,1895.56,1902.38,1819.09,-18.7929,-10.266,0.33,1828.0,1984.8,32.25,1843.1,1843.1,1794.73,1915.65,1964.02,2012.39,1.5,2.0,10.0,AVOID,False,Price > long EMA; Near support
SUPREMEIND,2026-09-15,3335.5,-0.86,36.17,3503.96,3501.52,3645.02,-20.3052,9.1277,0.34,3335.4,3710.0,87.68,3335.5,3335.5,3203.98,3532.77,3664.29,3795.81,1.5,2.0,10.0,AVOID,False,Fast EMA > slow EMA; Near support
UPL,2026-09-15,565.75,-1.26,42.53,575.35,584.78,632.72,-2.9145,-3.1915,0.39,557.95,591.0,10.82,565.75,565.75,549.53,590.09,606.31,622.53,1.5,2.0,10.0,AVOID,False,MACD bullish; Near support
UNITDSPR,2026-09-15,1385.4,-0.69,27.74,1460.11,1455.22,1388.31,-25.1666,-9.2343,0.23,1378.4,1563.4,29.54,1385.4,1385.4,1341.1,1451.86,1496.16,1540.47,1.5,2.0,10.0,AVOID,False,Fast EMA > slow EMA; Near support
ZYDUSLIFE,2026-09-15,1112.8,-0.56,44.27,1135.75,1125.43,1046.22,-2.4504,2.621,0.26,1092.6,1198.9,29.75,1108.99,1112.8,1068.17,1179.74,1224.37,1269.0,1.5,2.0,10.0,AVOID,False,Fast EMA > slow EMA; Price > long EMA
ALKEM,2026-09-15,5272.5,3.64,45.93,5284.23,5395.35,5477.81,-92.3042,-88.8064,1.22,5051.0,5510.0,105.27,5126.76,5272.5,5000.49,5680.52,5952.53,6224.54,1.5,1.5,10.0,AVOID,False,Volume 1.2x average; Positive daily momentum
COLPAL,2026-09-15,1844.4,2.61,42.47,1863.7,1936.1,2059.0,-45.7787,-48.5894,0.79,1782.1,1958.9,37.61,1808.83,1844.4,1764.28,1964.58,2044.7,2124.82,1.5,1.5,10.0,AVOID,False,MACD bullish; Positive daily momentum
HEROMOTOCO,2026-09-15,5280.5,1.13,42.65,5399.6,5364.85,5318.16,-63.5319,-21.5785,0.64,5167.0,5778.0,119.24,5244.5,5280.5,5101.64,5548.79,5727.66,5906.52,1.5,1.5,10.0,AVOID,False,Fast EMA > slow EMA; Positive daily momentum
INFY,2026-09-15,1077.2,3.81,43.53,1100.5,1116.7,1241.57,-19.6572,-10.0338,1.29,1026.5,1156.0,30.48,1041.9,1077.2,1016.24,1168.65,1229.61,1290.58,1.5,1.5,10.0,AVOID,False,Volume 1.3x average; Positive daily momentum
JINDALSTEL,2026-09-15,1100.0,-1.83,42.02,1135.17,1123.46,1121.15,5.8739,14.0149,0.39,1058.0,1196.4,31.1,1073.87,1100.0,1047.42,1178.87,1231.45,1284.03,1.5,1.5,10.0,AVOID,False,Fast EMA > slow EMA; MACD > zero
KPITTECH,2026-09-15,572.35,3.36,44.9,578.28,603.41,777.55,-12.3207,-10.4024,2.16,545.6,613.45,16.05,553.78,572.35,540.14,620.66,652.86,685.07,1.5,1.5,10.0,AVOID,False,Volume 2.2x average; Positive daily momentum
ONGC,2026-09-15,234.97,1.06,46.76,235.73,240.55,251.44,-1.485,-1.831,0.74,230.79,243.16,4.41,234.25,234.97,228.35,244.9,251.52,258.14,1.5,1.5,10.0,AVOID,False,MACD bullish; Positive daily momentum
SBICARD,2026-09-15,627.7,-4.2,41.77,649.56,643.92,697.57,2.7552,3.6412,0.3,610.0,675.0,18.8,619.15,627.7,599.51,669.99,698.18,726.38,1.5,1.5,10.0,AVOID,False,Fast EMA > slow EMA; MACD > zero
TATAELXSI,2026-09-15,3478.9,2.83,41.23,3554.01,3671.12,4270.4,-72.3675,-53.8046,1.86,3370.0,3777.6,89.41,3420.55,3478.9,3336.3,3692.8,3835.4,3978.0,1.5,1.5,10.0,AVOID,False,Volume 1.9x average; Positive daily momentum
TMPV,2026-09-15,308.1,2.32,39.66,313.25,326.31,380.83,-7.8541,-7.7909,1.75,296.5,331.7,7.49,300.95,308.1,293.54,329.95,344.51,359.08,1.5,1.5,10.0,AVOID,False,Volume 1.7x average; Positive daily momentum
360ONE,2026-09-15,1063.1,-2.56,30.2,1138.81,1140.18,1112.36,-18.8781,-4.14,0.52,1056.7,1222.9,31.24,1063.1,1063.1,1016.24,1133.38,1180.24,1227.1,1.5,1.0,10.0,AVOID,False,Near support
ATGL,2026-09-15,587.05,-1.3,22.04,623.31,647.73,635.2,-18.2192,-15.6862,0.29,585.9,687.9,15.08,587.05,587.05,564.43,620.99,643.61,666.24,1.5,1.0,10.0,AVOID,False,Near support
AMBUJACEM,2026-09-15,384.45,-1.89,26.94,404.05,415.68,458.7,-8.4327,-7.1059,0.45,384.0,422.8,7.6,384.45,384.45,373.05,401.54,412.94,424.34,1.5,1.0,10.0,AVOID,False,Near support
ASIANPAINT,2026-09-15,2427.5,-1.82,24.72,2557.52,2616.27,2590.91,-60.1393,-47.8585,0.45,2425.7,2678.7,47.26,2427.5,2427.5,2356.61,2533.83,2604.72,2675.61,1.5,1.0,10.0,AVOID,False,Near support
ASTRAL,2026-09-15,1382.0,-2.08,29.68,1478.39,1479.33,1493.63,-12.4417,4.4444,0.3,1381.4,1581.0,35.15,1382.0,1382.0,1329.28,1461.08,1513.8,1566.53,1.5,1.0,10.0,AVOID,False,Near support
BANKBARODA,2026-09-15,234.75,-1.42,38.27,239.89,246.1,261.23,-2.9861,-2.8516,0.6,234.05,247.28,4.36,234.75,234.75,228.21,244.57,251.11,257.65,1.5,1.0,10.0,AVOID,False,Near support
BANKINDIA,2026-09-15,138.26,-1.24,38.21,141.99,142.51,142.47,-0.6624,-0.1061,0.52,137.26,147.9,2.97,138.26,138.26,133.8,144.94,149.4,153.85,1.5,1.0,10.0,AVOID,False,Near support
BDL,2026-09-15,1141.6,-4.07,24.64,1260.2,1287.38,1349.77,-35.215,-17.5005,0.52,1141.0,1427.7,37.62,1141.6,1141.6,1085.16,1226.25,1282.69,1339.12,1.5,1.0,10.0,AVOID,False,Near support
BEL,2026-09-15,390.45,-3.44,34.56,405.69,407.62,414.06,-1.4752,0.1704,1.06,387.6,416.35,7.58,390.45,390.45,379.09,407.49,418.86,430.22,1.5,1.0,10.0,AVOID,False,Near support
BHARTIARTL,2026-09-15,1834.3,0.17,41.44,1869.98,1891.43,1908.9,-26.2359,-21.7604,0.44,1811.9,1959.7,32.13,1834.3,1834.3,1786.11,1906.59,1954.79,2002.98,1.5,1.0,10.0,AVOID,False,Near support
BIOCON,2026-09-15,387.7,-0.76,29.93,402.73,410.87,398.59,-8.3439,-6.8758,0.35,384.65,421.6,8.68,387.7,387.7,374.68,407.23,420.26,433.28,1.5,1.0,10.0,AVOID,False,Near support
BLUESTARCO,2026-09-15,1506.9,-3.28,48.2,1507.18,1555.07,1686.79,-18.455,-29.0673,0.53,1432.3,1565.1,46.79,1453.78,1506.9,1417.98,1640.28,1729.21,1818.13,1.5,1.0,10.0,AVOID,False,MACD bullish
BRITANNIA,2026-09-15,4978.0,0.32,29.84,5182.53,5298.23,5556.87,-117.7419,-91.0706,0.42,4945.0,5561.0,96.08,4978.0,4978.0,4833.88,5194.18,5338.3,5482.41,1.5,1.0,10.0,AVOID,False,Near support
CANBK,2026-09-15,123.13,-0.7,36.14,126.08,127.63,131.38,-1.3048,-0.8942,0.65,122.65,131.43,2.37,123.13,123.13,119.58,128.46,132.02,135.57,1.5,1.0,10.0,AVOID,False,Near support
CIPLA,2026-09-15,1354.2,-0.86,31.4,1400.72,1414.4,1414.32,-19.9802,-13.9197,0.69,1347.7,1449.0,22.41,1354.2,1354.2,1320.58,1404.63,1438.26,1471.88,1.5,1.0,10.0,AVOID,False,Near support
COROMANDEL,2026-09-15,1938.9,0.51,43.22,1962.75,1986.71,2053.02,-21.8757,-24.553,0.32,1890.0,2104.8,43.04,1918.35,1938.9,1871.1,2040.6,2108.4,2176.2,1.5,1.0,10.0,AVOID,False,MACD bullish
CUMMINSIND,2026-09-15,4953.5,-2.3,32.5,5159.5,5292.09,5046.27,-93.5632,-91.9953,0.37,4944.0,5484.0,119.55,4953.5,4953.5,4774.18,5222.48,5401.8,5581.12,1.5,1.0,10.0,AVOID,False,Near support
DRREDDY,2026-09-15,1152.8,-1.09,43.44,1163.91,1191.53,1243.54,-11.7884,-12.3954,1.05,1130.0,1197.2,20.99,1146.95,1152.8,1118.7,1203.95,1238.05,1272.15,1.5,1.0,10.0,AVOID,False,MACD bullish
FORTIS,2026-09-15,889.0,0.14,38.57,911.4,925.46,932.43,-9.5334,-8.1037,0.49,884.1,941.9,18.34,889.0,889.0,861.49,930.27,957.78,985.29,1.5,1.0,10.0,AVOID,False,Near support
GMRAIRPORT,2026-09-15,94.41,-3.64,35.8,98.28,101.32,99.95,-2.0361,-2.3011,0.43,92.6,103.45,2.47,93.99,94.41,90.71,99.97,103.67,107.38,1.5,1.0,10.0,AVOID,False,MACD bullish
GODFRYPHLP,2026-09-15,1926.1,-0.05,28.8,2051.25,2113.22,2333.25,-55.8562,-39.2951,0.49,1921.2,2167.7,48.84,1926.1,1926.1,1852.85,2035.98,2109.23,2182.49,1.5,1.0,10.0,AVOID,False,Near support
GODREJCP,2026-09-15,871.1,0.71,29.33,904.26,958.99,1059.81,-34.8314,-35.9619,0.49,855.15,948.0,19.35,867.98,871.1,842.08,914.63,943.65,972.67,1.5,1.0,10.0,AVOID,False,MACD bullish
GODREJPROP,2026-09-15,1677.0,-4.06,22.49,1928.72,1963.25,1915.82,-66.4629,-34.1753,0.9,1667.0,2095.0,67.1,1677.0,1677.0,1576.35,1827.97,1928.62,2029.27,1.5,1.0,10.0,AVOID,False,Near support
HAVELLS,2026-09-15,1088.9,-1.99,20.05,1187.89,1214.08,1289.45,-38.3997,-21.5677,0.43,1088.0,1315.0,27.84,1088.9,1088.9,1047.14,1151.54,1193.31,1235.07,1.5,1.0,10.0,AVOID,False,Near support
HUDCO,2026-09-15,170.38,-1.38,21.48,181.03,189.56,201.43,-5.7229,-5.1619,0.41,170.2,192.0,4.26,170.38,170.38,163.99,179.97,186.36,192.75,1.5,1.0,10.0,AVOID,False,Near support
ICICIGI,2026-09-15,1435.0,-1.7,16.8,1539.46,1615.27,1759.19,-52.4227,-42.1532,0.48,1431.9,1650.0,31.42,1435.0,1435.0,1387.88,1505.68,1552.81,1599.93,1.5,1.0,10.0,AVOID,False,Near support
IOC,2026-09-15,133.74,-1.01,37.82,136.78,138.73,145.41,-1.3907,-1.1545,0.84,133.02,141.15,2.43,133.74,133.74,130.09,139.22,142.87,146.52,1.5,1.0,10.0,AVOID,False,Near support
IRCTC,2026-09-15,460.75,-0.46,26.77,479.13,492.8,554.68,-9.4234,-7.7684,0.48,460.5,502.75,7.29,460.75,460.75,449.81,477.16,488.1,499.04,1.5,1.0,10.0,AVOID,False,Near support
IRFC,2026-09-15,80.11,-1.21,22.76,83.57,86.89,99.51,-1.9217,-1.6986,0.59,80.05,87.56,1.45,80.11,80.11,77.93,83.38,85.55,87.73,1.5,1.0,10.0,AVOID,False,Near support
IREDA,2026-09-15,110.02,-1.51,32.54,114.35,117.76,127.0,-2.0556,-1.8236,0.5,110.01,121.14,2.14,110.02,110.02,106.81,114.84,118.05,121.26,1.5,1.0,10.0,AVOID,False,Near support
INDIGO,2026-09-15,4880.5,-1.86,33.83,5071.87,5099.46,5030.22,-78.0954,-54.2906,0.38,4822.0,5332.5,109.97,4880.5,4880.5,4715.54,5127.94,5292.9,5457.86,1.5,1.0,10.0,AVOID,False,Near support
JSWENERGY,2026-09-15,514.25,-2.32,34.73,535.5,544.68,536.41,-7.6463,-6.4887,0.24,511.4,556.6,11.94,514.25,514.25,496.34,541.12,559.03,576.94,1.5,1.0,10.0,AVOID,False,Near support
JIOFIN,2026-09-15,229.28,-0.27,33.33,237.8,241.19,255.16,-4.2936,-3.0962,0.73,226.44,249.9,4.59,229.28,229.28,222.39,239.61,246.5,253.38,1.5,1.0,10.0,AVOID,False,Near support
KEI,2026-09-15,4509.0,-1.51,27.6,5058.48,5197.84,4896.35,-227.7812,-120.7433,0.35,4447.0,5899.0,180.29,4509.0,4509.0,4238.56,4914.65,5185.09,5455.52,1.5,1.0,10.0,AVOID,False,Near support
LT,2026-09-15,3872.2,-1.49,35.43,3979.27,3990.1,3944.3,-24.9466,-7.8607,0.84,3835.7,4125.3,62.17,3872.2,3872.2,3778.94,4012.08,4105.34,4198.6,1.5,1.0,10.0,AVOID,False,Near support
LUPIN,2026-09-15,2075.0,-0.95,25.79,2155.98,2240.87,2245.41,-59.4686,-58.8505,0.49,2058.0,2255.0,39.92,2075.0,2075.0,2015.12,2164.82,2224.7,2284.58,1.5,1.0,10.0,AVOID,False,Near support
M&M,2026-09-15,3092.0,-0.48,28.58,3227.57,3251.8,3296.98,-61.6488,-36.973,0.68,3069.1,3456.4,62.87,3092.0,3092.0,2997.7,3233.45,3327.74,3422.04,1.5,1.0,10.0,AVOID,False,Near support
MARICO,2026-09-15,800.9,-0.15,33.75,827.09,835.91,802.49,-12.6376,-9.2058,0.47,795.5,867.35,15.49,800.9,800.9,777.67,835.75,858.98,882.22,1.5,1.0,10.0,AVOID,False,Near support
MFSL,2026-09-15,1448.4,-1.94,35.53,1520.03,1545.76,1599.12,-20.9017,-9.7312,0.31,1445.4,1604.9,37.77,1448.4,1448.4,1391.74,1533.39,1590.05,1646.71,1.5,1.0,10.0,AVOID,False,Near support
MAZDOCK,2026-09-15,2273.0,-2.82,26.24,2453.9,2465.97,2517.01,-35.7401,-4.7389,0.59,2271.2,2656.8,60.69,2273.0,2273.0,2181.97,2409.55,2500.58,2591.61,1.5,1.0,10.0,AVOID,False,Near support
MUTHOOTFIN,2026-09-15,2750.2,-1.5,34.74,2911.88,2980.51,3183.6,-50.6117,-25.4938,0.22,2728.6,3246.5,80.6,2750.2,2750.2,2629.3,2931.56,3052.46,3173.36,1.5,1.0,10.0,AVOID,False,Near support
NHPC,2026-09-15,75.91,-0.62,44.49,76.45,77.16,78.82,-0.3738,-0.4641,0.52,74.3,77.89,1.42,75.41,75.91,73.56,79.44,81.79,84.15,1.5,1.0,10.0,AVOID,False,MACD bullish
NMDC,2026-09-15,81.55,-1.03,38.6,84.64,85.16,83.73,-0.5174,-0.1046,0.44,81.25,89.1,1.96,81.55,81.55,78.61,85.96,88.9,91.85,1.5,1.0,10.0,AVOID,False,Near support
NTPC,2026-09-15,328.55,-1.45,37.65,334.03,341.47,352.74,-2.9382,-3.45,0.49,321.0,344.45,5.47,325.81,328.55,317.79,344.69,355.45,366.21,1.5,1.0,10.0,AVOID,False,MACD bullish
PHOENIXLTD,2026-09-15,1874.1,-0.84,40.2,1910.02,1920.03,1823.3,-14.9147,-12.5275,0.55,1825.1,1971.0,42.82,1852.48,1874.1,1806.85,1974.98,2042.23,2109.48,1.5,1.0,10.0,AVOID,False,Price > long EMA
POLYCAB,2026-09-15,8207.0,-0.41,31.18,8683.08,8930.88,8531.57,-246.3342,-177.5949,0.35,8118.0,9445.0,213.7,8207.0,8207.0,7886.45,8687.83,9008.38,9328.93,1.5,1.0,10.0,AVOID,False,Near support
PFC,2026-09-15,347.65,-1.64,34.38,359.54,380.48,401.66,-10.8596,-12.7157,0.57,336.3,376.55,7.67,341.34,347.65,332.94,369.72,384.43,399.15,1.5,1.0,10.0,AVOID,False,MACD bullish
POWERGRID,2026-09-15,265.8,-1.23,43.36,268.31,274.31,283.92,-2.1591,-3.0197,0.68,261.7,275.95,4.77,265.63,265.8,258.65,276.52,283.67,290.82,1.5,1.0,10.0,AVOID,False,MACD bullish
PREMIERENE,2026-09-15,957.6,-1.7,35.36,999.35,1016.77,990.05,-17.0359,-12.4016,0.26,950.1,1072.4,25.88,957.6,957.6,918.79,1015.82,1054.64,1093.45,1.5,1.0,10.0,AVOID,False,Near support
PRESTIGE,2026-09-15,1445.0,-3.54,31.33,1565.04,1575.47,1531.5,-27.7801,-13.6834,0.47,1439.7,1651.3,51.66,1445.0,1445.0,1367.5,1561.24,1638.74,1716.23,1.5,1.0,10.0,AVOID,False,Near support
RVNL,2026-09-15,202.25,-1.29,29.38,213.12,223.4,265.59,-6.1374,-5.325,0.55,202.0,231.38,5.01,202.25,202.25,194.73,213.53,221.06,228.58,1.5,1.0,10.0,AVOID,False,Near support
RELIANCE,2026-09-15,1256.6,-0.07,36.89,1292.21,1302.54,1353.44,-9.654,-4.2705,0.7,1249.2,1333.0,20.34,1256.6,1256.6,1226.09,1302.37,1332.88,1363.39,1.5,1.0,10.0,AVOID,False,Near support
SBILIFE,2026-09-15,1666.9,-1.06,32.13,1737.36,1779.35,1847.42,-34.9285,-29.2342,0.44,1661.7,1801.7,33.53,1666.9,1666.9,1616.6,1742.35,1792.65,1842.95,1.5,1.0,10.0,AVOID,False,Near support
SRF,2026-09-15,2484.0,0.06,32.44,2561.88,2615.3,2708.81,-37.2801,-30.7347,0.36,2457.1,2648.0,46.62,2484.0,2484.0,2414.07,2588.89,2658.82,2728.75,1.5,1.0,10.0,AVOID,False,Near support
ENRIN,2026-09-15,3094.8,-2.72,35.04,3239.79,3322.58,3244.07,-74.4193,-65.2467,0.41,3085.6,3639.0,99.94,3094.8,3094.8,2944.89,3319.67,3469.58,3619.49,1.5,1.0,10.0,AVOID,False,Near support
SBIN,2026-09-15,980.2,-1.56,31.36,1022.5,1031.92,1014.47,-14.2459,-8.4189,0.74,979.0,1067.7,17.52,980.2,980.2,953.92,1019.62,1045.9,1072.18,1.5,1.0,10.0,AVOID,False,Near support
TATACONSUM,2026-09-15,997.1,0.62,32.67,1027.51,1060.18,1106.98,-21.9585,-19.6508,1.03,986.0,1079.1,17.7,997.1,997.1,970.55,1036.93,1063.48,1090.04,1.5,1.0,10.0,AVOID,False,Near support
TATAPOWER,2026-09-15,366.95,0.63,47.83,367.11,374.51,386.91,-2.8143,-3.9866,0.46,347.0,382.05,7.36,352.2,366.95,343.53,402.08,425.5,448.92,1.5,1.0,10.0,AVOID,False,MACD bullish
TATASTEEL,2026-09-15,183.39,0.21,44.62,185.63,187.91,190.28,-0.647,-0.611,0.74,180.79,190.26,4.56,183.39,183.39,176.55,193.64,200.48,207.32,1.5,1.0,10.0,AVOID,False,Near support
TRENT,2026-09-15,2778.3,-0.86,33.81,2861.88,2909.15,3176.54,-46.1733,-40.0781,0.47,2757.5,2980.4,56.92,2778.3,2778.3,2692.92,2906.37,2991.75,3077.12,1.5,1.0,10.0,AVOID,False,Near support
TIINDIA,2026-09-15,2553.2,-2.03,29.8,2734.03,2815.06,2880.5,-65.3258,-42.2613,0.23,2552.5,2989.0,74.66,2553.2,2553.2,2441.21,2721.19,2833.19,2945.18,1.5,1.0,10.0,AVOID,False,Near support
VBL,2026-09-15,413.15,-0.8,42.47,418.11,438.93,464.05,-9.4772,-11.26,0.22,396.2,447.9,10.34,402.14,413.15,392.24,444.52,465.43,486.34,1.5,1.0,10.0,AVOID,False,MACD bullish
VEDL,2026-09-15,257.3,-2.43,37.16,270.73,283.17,403.99,-2.5453,-0.9447,0.48,256.5,291.0,7.8,257.3,257.3,245.61,274.84,286.53,298.22,1.5,1.0,10.0,AVOID,False,Near support
VMM,2026-09-15,101.0,-0.7,36.62,105.66,108.86,119.3,-1.9014,-1.3936,0.31,100.44,115.4,2.91,101.0,101.0,96.63,107.55,111.92,116.29,1.5,1.0,10.0,AVOID,False,Near support
WAAREEENER,2026-09-15,2582.6,-1.62,42.02,2619.08,2706.28,2955.21,-36.4393,-39.469,1.03,2515.1,2727.0,57.74,2552.83,2582.6,2489.95,2721.58,2814.23,2906.88,1.5,1.0,10.0,AVOID,False,MACD bullish
HINDUNILVR,2026-09-15,1962.3,1.83,40.13,1993.19,2052.72,2207.71,-36.2542,-34.8802,0.79,1926.2,2076.0,31.3,1955.09,1962.3,1906.94,2045.34,2100.71,2156.07,1.5,0.5,10.0,AVOID,False,Positive daily momentum
WIPRO,2026-09-15,170.44,1.82,39.5,175.04,179.01,200.42,-3.391,-2.2557,1.01,165.16,184.5,3.82,167.64,170.44,163.51,180.84,187.77,194.7,1.5,0.5,10.0,AVOID,False,Positive daily momentum
DMART,2026-09-15,3722.8,0.94,36.87,3807.8,3917.62,4085.75,-73.9283,-65.0167,0.5,3650.0,4070.0,76.52,3704.75,3722.8,3608.03,3894.96,4009.74,4124.51,1.5,0.0,10.0,AVOID,False,
AXISBANK,2026-09-15,1233.9,-0.97,44.02,1250.6,1261.82,1264.02,-3.0448,-1.9139,0.74,1213.6,1300.0,23.12,1231.8,1233.9,1199.22,1285.92,1320.6,1355.27,1.5,0.0,10.0,AVOID,False,
BPCL,2026-09-15,304.15,-0.11,38.21,311.65,312.68,319.22,-2.8515,-1.1728,0.48,296.0,326.35,7.29,300.44,304.15,293.04,320.81,331.92,343.03,1.5,0.0,10.0,AVOID,False,
HDFCAMC,2026-09-15,2408.4,0.19,34.79,2507.52,2556.65,2630.66,-43.1248,-25.8568,0.39,2366.1,2698.0,56.76,2401.59,2408.4,2323.26,2536.11,2621.24,2706.38,1.5,0.0,10.0,AVOID,False,
HDFCLIFE,2026-09-15,523.6,-1.21,41.07,536.1,548.29,617.74,-6.3119,-4.9757,0.79,508.7,563.5,11.89,516.33,523.6,503.61,553.58,573.57,593.55,1.5,0.0,10.0,AVOID,False,
HINDPETRO,2026-09-15,348.9,-0.88,32.82,361.72,373.84,394.11,-8.8307,-8.2354,0.38,340.1,381.7,8.17,345.2,348.9,336.65,367.28,379.54,391.79,1.5,0.0,10.0,AVOID,False,
ITC,2026-09-15,260.8,0.37,37.9,265.95,274.04,309.65,-4.6834,-4.6689,0.55,255.5,273.95,4.71,259.33,260.8,252.94,272.58,280.44,288.29,1.5,0.0,10.0,AVOID,False,
MANKIND,2026-09-15,2283.2,0.14,38.06,2349.62,2397.22,2368.69,-45.3998,-37.0284,0.7,2222.0,2423.9,51.58,2255.33,2283.2,2199.78,2408.33,2491.75,2575.17,1.5,0.0,10.0,AVOID,False,
PIIND,2026-09-15,2249.3,-0.43,25.73,2424.98,2545.84,2896.07,-78.6618,-68.1688,0.52,2191.0,2545.0,61.38,2223.86,2249.3,2157.23,2387.41,2479.48,2571.55,1.5,0.0,10.0,AVOID,False,
VOLTAS,2026-09-15,1161.5,-0.3,36.52,1194.72,1242.84,1323.57,-32.9562,-32.6393,0.35,1131.4,1272.0,27.92,1148.37,1161.5,1119.62,1224.31,1266.19,1308.06,1.5,0.0,10.0,AVOID,False,
